Douglas Scientific
Date -20230207-
User
Something else


dye,FAM,
<>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
M,4000,100,100,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
N,4000,100,100,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
O,4000,100,100,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,100,4000,4000,4000,4000,
P,4000,100,100,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,100,100,4000,4000,4000,4000,

dye,ROX,,
<>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
B,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,111,4000,4000,4000,4000,4000,4000,
C,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
D,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,111,4000,4000,4000,4000,4000,4000,
E,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
F,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,111,4000,4000,4000,4000,4000,4000,
G,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
H,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,111,4000,4000,4000,4000,4000,4000,
I,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
J,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,111,4000,4000,4000,4000,4000,4000,
K,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
L,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,111,4000,4000,4000,4000,4000,4000,
M,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,4000,4000,4000,4000,4000,
N,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,100,100,4000,4000,4000,4000,4000,4000,
O,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,100,4000,4000,4000,4000,4000,4000,4000,
P,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0,0,4000,100,4000,100,4000,100,
